Membership No  Date Joined  Active  
    85962      2019-7-5     no    
    55047      2018-5-20    no    
    34438      2015-3-16    no    
    70556      2015-11-12   no    
    39368      2015-2-6     no    
    82864      2015-10-6    no    
    14762      2019-11-19   no    
    40984      2020-3-11    no    
    32684      2018-10-8    no    
    47440      2016-10-9    no    
    91584      2018-2-11    no    
    49441      2016-11-8    no    
    53571      2018-5-11    no    
    90186      2020-8-17    no    
    79654      2019-7-22    no    
    50847      2015-2-23    no    
